makeout (source code extract) вторник, 16 декабря 2003 г. 1:13:37
 WebBrowserControl.sln...                O.K. 13.12.2003 0:38:34
 Выб Браузер.doc...                      O.K. 16.12.2003 0:25:10
 WebBrowserControl.csproj...             O.K. 15.12.2003 22:55:04
 AssemblyInfo.cs...                      O.K. 16.12.2003 0:30:14
 WebBrowserControl.cs...                 O.K. 15.12.2003 22:55:12
 IWebBrowser2.cs...                      O.K. 13.12.2003 11:07:10
 DWebBrowserEvents2.cs...                O.K. 13.12.2003 11:06:42
 ReadyState.cs...                        O.K. 13.12.2003 11:06:55
 CommandStateChangeConstants.cs...       O.K. 13.12.2003 11:07:12
 OLECMDEXECOPT.cs...                     O.K. 13.12.2003 11:07:09
 OLECMDF.cs...                           O.K. 13.12.2003 11:07:08
 OLECMDID.cs...                          O.K. 13.12.2003 11:07:05
 GenerateInterfaceDecl.csproj...         O.K. 12.12.2003 19:51:43
 AssemblyInfo.cs...                      O.K. 12.12.2003 19:34:50
 GenDecl.cs...                           O.K. 13.12.2003 0:20:16
 App.ico...                              O.K. 12.12.2003 19:34:50
 Sample1.csproj...                       O.K. 13.12.2003 11:07:20
 AssemblyInfo.cs...                      O.K. 12.12.2003 21:39:21
 Form1.cs...                             O.K. 16.12.2003 0:25:32
 Form1.resx...                           O.K. 15.12.2003 22:57:03
 App.ico...                              O.K. 12.12.2003 21:39:21
 CustomFileDialog.csproj...              O.K. 13.12.2003 11:07:20
 AssemblyInfo.cs...                      O.K. 13.12.2003 0:34:26
 Form1.cs...                             O.K. 13.12.2003 1:00:13
 Form1.resx...                           O.K. 13.12.2003 0:57:16
 App.ico...                              O.K. 13.12.2003 0:34:26
 makeout.js...                           O.K. 16.12.2003 1:13:33
 backup.js...                            O.K. 16.12.2003 1:12:54
source code prepared вторник, 16 декабря 2003 г. 1:13:38

